ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,MonitoringLocationIdentifier,SampleCollectionMethod/MethodIdentifier,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ProviderName
WIDNR_WQX-37108914,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,22.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37108946,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.6,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37108946,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.019,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37108946,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,<0.02,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37108946,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.06,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37108981,1988-07-19,09:30:00,CDT,1988-07-19,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.6,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37108981,1988-07-19,09:30:00,CDT,1988-07-19,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.018,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37108981,1988-07-19,09:30:00,CDT,1988-07-19,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,<0.02,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37108981,1988-07-19,09:30:00,CDT,1988-07-19,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37109019,1988-07-19,09:30:00,CDT,1988-07-19,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,pH,Total,8.70,None,150.1,USEPA,pH,STORET
WIDNR_WQX-37109019,1988-07-19,09:30:00,CDT,1988-07-19,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.6,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37109019,1988-07-19,09:30:00,CDT,1988-07-19,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.018,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109019,1988-07-19,09:30:00,CDT,1988-07-19,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,<0.02,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109019,1988-07-19,09:30:00,CDT,1988-07-19,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37109058,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.5,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37109058,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.014,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109058,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,<0.02,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109058,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37109090,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.16,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109090,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.66,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109121,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,14.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.3,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37109121,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,14.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.23,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109121,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,14.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.85,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109121,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,14.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37109156,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.32,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109156,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,1.0,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109186,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,18.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.37,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109186,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,18.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,1.2,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109216,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,2.2,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37109216,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.44,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109216,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,1.5,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109216,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37109251,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,22.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.49,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109251,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,22.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,1.8,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109281,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,pH,Total,8.60,None,150.1,USEPA,pH,STORET
WIDNR_WQX-37109281,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.5,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37109281,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.014,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109281,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,<0.02,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109281,1988-08-01,00:00:00,,1988-08-01,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37109322,1988-08-16,09:00:00,CDT,1988-08-16,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,pH,Total,8.70,None,150.1,USEPA,pH,STORET
WIDNR_WQX-37109322,1988-08-16,09:00:00,CDT,1988-08-16,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.6,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37109322,1988-08-16,09:00:00,CDT,1988-08-16,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.014,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109322,1988-08-16,09:00:00,CDT,1988-08-16,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,<0.02,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109322,1988-08-16,09:00:00,CDT,1988-08-16,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37109356,1988-08-16,09:00:00,CDT,1988-08-16,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.6,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37109356,1988-08-16,09:00:00,CDT,1988-08-16,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.014,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109356,1988-08-16,09:00:00,CDT,1988-08-16,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,<0.02,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109356,1988-08-16,09:00:00,CDT,1988-08-16,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37109391,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.6,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37109391,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.015,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109391,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.06,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109391,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37109424,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,10.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.013,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109424,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,10.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.07,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109454,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.05,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109454,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.52,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109485,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,14.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.5,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37109485,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,14.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.21,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109485,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,14.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,1.0,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109485,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,14.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37109517,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.30,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109517,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,1.2,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109547,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,18.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.42,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109547,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,18.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,1.8,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109577,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,pH,Total,8.50,None,150.1,USEPA,pH,STORET
WIDNR_WQX-37109577,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.7,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37109577,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.015,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109577,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.06,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109577,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37109611,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,22.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.52,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109611,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,22.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,2.2,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109776,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,2.5,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37109776,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.48,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109776,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,2.0,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109776,1988-08-30,00:00:00,,1988-08-30,23:55:00,CDT,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,<0.1,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37109913,1988-09-02,09:00:00,CDT,1988-09-02,23:55:00,CDT,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.48,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109943,1988-09-11,00:00:00,,1988-09-11,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,pH,Total,8.60,None,150.1,USEPA,pH,STORET
WIDNR_WQX-37109943,1988-09-11,00:00:00,,1988-09-11,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.8,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37109943,1988-09-11,00:00:00,,1988-09-11,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.022,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109943,1988-09-11,00:00:00,,1988-09-11,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.06,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109943,1988-09-11,00:00:00,,1988-09-11,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37109989,1988-09-11,00:00:00,,1988-09-11,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.8,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37109989,1988-09-11,00:00:00,,1988-09-11,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.022,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37109989,1988-09-11,00:00:00,,1988-09-11,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.06,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37109989,1988-09-11,00:00:00,,1988-09-11,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37110051,1988-09-26,00:00:00,,1988-09-26,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,pH,Total,8.40,None,150.1,USEPA,pH,STORET
WIDNR_WQX-37110051,1988-09-26,00:00:00,,1988-09-26,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.8,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37110051,1988-09-26,00:00:00,,1988-09-26,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.064,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37110051,1988-09-26,00:00:00,,1988-09-26,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,<0.02,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37110051,1988-09-26,00:00:00,,1988-09-26,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37110090,1988-09-26,00:00:00,,1988-09-26,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.9,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37110090,1988-09-26,00:00:00,,1988-09-26,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.055,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37110090,1988-09-26,00:00:00,,1988-09-26,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,<0.02,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37110090,1988-09-26,00:00:00,,1988-09-26,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37110139,1988-10-12,09:15:00,CDT,1988-10-12,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,pH,Total,8.40,None,150.1,USEPA,pH,STORET
WIDNR_WQX-37110139,1988-10-12,09:15:00,CDT,1988-10-12,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.8,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37110139,1988-10-12,09:15:00,CDT,1988-10-12,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.070,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37110139,1988-10-12,09:15:00,CDT,1988-10-12,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.14,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37110139,1988-10-12,09:15:00,CDT,1988-10-12,23:55:00,CDT,0.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37110198,1988-10-12,09:15:00,CDT,1988-10-12,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.9,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37110198,1988-10-12,09:15:00,CDT,1988-10-12,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.072,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
